Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.2,0.6,0.0,,,,
2,2.2,8.4,148.2,108,670,,
3,5.2,20.7,127.0,171,888,27,
4,7.2,29.2,121.6,195,969,27,
5,9.2,37.9,116.7,220,1057,27,
6,11.2,46.6,114.8,231,1096,27,
7,14.2,58.9,118.7,209,1020,26,
8,16.2,66.8,122.7,189,952,27,
9,18.2,75.1,125.1,179,915,25,
10,21.2,88.1,117.5,216,1042,27,
11,23.2,96.4,117.5,216,1042,27,
12,25.2,104.8,118.6,210,1022,26,
13,27.2,113.1,119.7,204,1002,26,
14,30.2,125.4,122.7,189,952,26,
15,32.2,133.4,122.7,189,952,26,
16,34.2,141.4,124.5,181,924,26,
17,37.2,153.6,126.2,174,899,26,
18,39.2,161.5,126.2,174,899,26,
19,41.2,169.6,124.9,180,918,27,
20,43.2,177.8,122.9,189,948,27,
21,45.2,186.0,121.8,194,966,27,
22,48.2,198.3,124.0,184,931,27,
23,50.2,206.2,124.0,184,931,27,
24,52.2,214.4,124.2,183,928,27,
25,54.2,222.6,123.0,188,947,27,
26,57.2,234.9,123.6,185,937,26,
27,59.2,242.9,123.6,185,937,26,
28,61.2,251.0,123.7,185,936,27,
29,63.2,259.3,123.1,188,945,27,
30,66.2,271.8,121.4,196,973,27,
31,68.2,279.9,121.4,196,973,27,
32,70.2,288.2,121.3,196,974,26,
33,72.2,296.5,120.4,201,990,27,
34,75.2,309.0,121.5,195,971,27,
35,77.2,317.2,121.5,195,971,27,
36,79.2,325.3,122.5,190,955,27,
37,81.2,333.5,122.4,191,956,27,
38,83.2,341.9,121.8,194,966,27,
39,86.2,354.1,122.5,190,955,27,
40,88.2,362.1,122.8,189,950,27,
41,90.2,370.4,122.6,190,953,27,
42,92.2,378.6,122.7,189,952,27,
43,95.2,390.9,122.1,192,961,27,
44,97.2,398.9,122.9,189,948,27,
45,99.2,407.0,124.0,184,931,27,
46,101.2,415.2,123.6,185,937,27,
47,104.2,427.3,124.7,180,921,27,
48,106.2,435.2,124.7,180,921,27,
49,108.2,443.2,124.9,180,918,27,
50,110.2,451.4,125.1,179,915,27,
51,113.2,464.0,120.6,200,986,27,
52,115.2,472.1,120.6,200,986,27,
53,117.2,480.2,122.3,191,958,27,
54,119.2,488.5,122.9,189,948,27,
55,122.2,500.9,122.8,189,950,26,
56,124.2,508.9,122.8,189,950,26,
57,126.2,517.2,122.9,189,948,27,
58,128.2,525.4,121.5,195,971,27,
59,131.2,538.0,120.8,199,983,26,
60,133.2,546.3,120.8,199,983,26,
61,135.2,554.5,120.4,201,990,26,
62,137.2,562.8,121.9,193,964,26,
63,140.2,575.0,122.3,191,958,27,
64,142.2,583.1,122.5,190,955,26,
65,144.2,591.2,124.0,184,931,26,
66,147.2,603.3,125.4,177,910,26,
