Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,0.8,2.1,0.0,,,,
2,2.3,6.7,166.4,76,561,42,
3,3.6,10.7,163.6,80,575,47,
4,4.9,15.0,152.0,100,643,45,
5,6.2,19.4,146.2,112,685,45,
6,7.5,23.9,146.2,112,685,45,
7,8.7,28.5,142.6,121,715,44,
8,10.3,34.1,139.2,130,746,45,
9,11.6,38.8,137.9,133,759,46,
10,12.9,43.5,136.2,139,776,45,
11,14.2,48.3,136.5,138,773,46,
12,15.4,53.0,138.4,132,754,48,
13,16.7,57.4,141.3,124,726,49,
14,17.7,60.9,141.3,124,726,49,
15,19.0,65.4,146.6,111,682,48,
16,20.3,69.9,146.6,111,682,48,
17,21.6,74.5,139.8,128,740,47,
18,22.9,79.2,136.2,139,776,49,
19,24.2,84.1,135.2,142,787,48,
20,25.3,88.0,135.2,142,787,48,
21,26.6,92.9,134.5,144,795,50,
22,27.8,97.6,134.2,145,798,48,
23,29.1,102.3,135.5,141,784,47,
24,30.4,107.1,135.5,141,784,49,
25,31.4,110.9,135.5,141,784,49,
26,32.7,115.8,135.2,142,787,50,
27,34.0,120.8,132.8,149,814,49,
28,35.3,125.7,131.5,154,829,49,
29,36.4,129.7,131.5,154,829,49,
30,37.7,134.6,130.3,158,844,49,
31,38.9,139.5,129.8,160,850,48,
32,40.2,144.5,131.7,153,827,48,
33,41.5,149.3,133.3,148,808,48,
34,42.8,154.1,133.3,148,808,48,
35,44.0,158.8,133.2,148,809,46,
36,45.6,164.7,131.5,154,829,46,
37,46.9,169.7,130.5,157,841,46,
38,48.1,174.5,130.9,156,837,45,
39,49.4,179.6,131.5,154,829,45,
40,50.7,184.5,131.1,155,834,47,
41,52.0,189.5,130.5,157,841,46,
42,53.3,194.5,129.5,161,854,46,
43,54.6,199.5,130.4,158,843,46,
44,55.9,204.4,130.4,158,843,46,
45,57.4,210.3,130.4,158,843,46,
46,58.5,214.3,130.4,158,843,46,
47,60.0,220.2,130.4,158,843,47,
48,61.3,225.1,130.4,158,843,46,
49,62.6,230.1,129.9,160,849,46,
50,63.8,235.0,129.7,160,852,45,
51,65.1,240.0,129.2,162,858,47,
52,66.4,245.0,129.2,162,858,47,
53,67.7,250.0,129.2,162,858,45,
54,69.0,255.1,127.2,170,885,47,
55,70.3,260.1,127.2,170,885,47,
56,71.5,265.1,127.6,168,879,46,
57,72.8,270.1,127.9,167,875,47,
58,74.1,275.2,129.4,162,855,47,
59,75.4,280.1,129.7,160,852,46,
60,76.7,285.3,129.2,162,858,46,
61,78.0,290.3,128.8,164,863,47,
62,79.3,295.3,128.7,164,865,47,
63,80.6,300.3,128.7,164,865,47,
64,81.9,305.4,130.0,159,848,47,
65,83.2,310.2,130.0,159,848,47,
66,84.5,315.3,129.9,160,849,45,
67,85.8,320.5,129.4,162,855,45,
68,87.3,326.5,128.9,163,862,44,
69,88.6,331.3,129.7,160,852,45,
70,89.9,336.2,131.2,155,833,45,
71,91.2,341.2,131.2,155,833,45,
72,92.5,346.1,131.3,155,832,45,
73,93.8,351.0,131.9,153,824,46,
74,95.3,356.9,132.9,149,813,45,
75,96.6,361.8,133.4,147,807,44,
76,97.9,366.6,133.4,147,807,44,
77,99.2,371.4,133.0,149,812,44,
78,100.7,377.3,130.0,159,848,45,
79,102.0,382.3,130.0,159,848,45,
80,103.3,387.4,128.9,163,862,43,
81,104.6,392.5,129.7,160,852,43,
82,106.0,397.5,130.7,157,839,45,
83,107.5,403.3,134.7,143,792,44,
84,108.8,408.0,135.1,142,788,45,
85,110.1,412.9,135.7,140,782,44,
86,111.4,417.7,135.7,140,782,44,
87,112.9,423.4,134.5,144,795,44,
88,114.2,428.3,134.3,144,797,44,
89,115.5,433.1,133.1,148,810,45,
90,116.8,438.0,133.1,148,810,45,
91,118.4,443.9,131.9,153,824,45,
92,119.7,448.9,131.3,155,832,43,
93,121.0,453.9,131.3,155,832,43,
94,122.3,458.8,130.6,157,840,44,
95,123.8,464.8,133.0,149,812,43,
96,125.1,469.6,132.1,152,822,46,
97,126.4,474.5,132.1,152,822,46,
98,127.7,479.5,132.7,150,815,45,
99,129.3,485.4,131.8,153,826,46,
100,130.5,490.2,132.4,151,818,44,
101,131.8,495.1,132.4,151,818,44,
102,133.4,500.8,134.6,144,793,43,
103,134.7,505.7,134.9,143,790,44,
104,136.0,510.5,134.9,143,790,44,
105,137.3,515.3,135.7,140,782,44,
106,138.8,521.0,134.1,145,799,43,
107,140.1,525.9,134.1,145,799,43,
108,141.7,531.7,134.4,144,796,42,
109,143.0,536.5,134.4,144,796,42,
110,144.5,542.1,134.6,144,793,42,
111,146.0,547.9,134.1,145,799,41,
112,147.3,552.8,134.1,145,799,41,
113,148.9,558.6,134.3,144,797,42,
114,150.4,564.3,135.3,141,786,41,
115,151.7,569.0,136.1,139,777,44,
116,153.0,573.7,136.1,139,777,44,
117,154.5,579.5,136.7,137,771,42,
