Path,Value
states/state[0]/name/@nickname,Peach State
states/state[0]/name/#text,Georgia
states/state[0]/population,10711908
states/state[0]/largest_city,Atlanta
states/state[0]/land_mass_sqmi,57906
states/state[0]/misc/climate,warm
states/state[0]/misc/state_flower,Cherokee Rose
states/state[1]/name/@nickname,Granola State
states/state[1]/name/#text,California
states/state[1]/population,39538223
states/state[1]/largest_city,Los Angeles
states/state[1]/land_mass_sqmi,163696
states/state[1]/water_sqmi,7737
states/state[1]/misc/bird,California Quail
