order_id,line_number,sku,product_name,quantity,unit_price,line_amount
1,1,HB-1000,Camp Lantern,1,76.46,76.46
2,1,HB-1000,USB-C Charger,2,42.56,85.12
3,1,AC-2000,Bike Mount,1,73.86,73.86
4,1,HB-1000,Camp Lantern,4,15.9,63.6
5,1,FL-1000,Headlamp Pro,4,46.37,185.48
6,1,CL-1000,Battery Pack,1,83.35,83.35
7,1,FL-1000,USB-C Charger,2,68.12,136.24
8,1,AC-1000,Pocket Beam,2,38.04,76.08
9,1,HB-1000,USB-C Charger,4,68.4,273.6
10,1,FL-1000,Pocket Beam,3,67.43,202.29
11,1,AC-2000,Bike Mount,3,83.51,250.53
12,1,AC-2000,Battery Pack,1,38.23,38.23
13,1,HB-1000,Battery Pack,3,55.8,167.4
14,1,HB-1000,USB-C Charger,3,13.49,40.47
15,1,FL-1000,Camp Lantern,2,82.07,164.14
16,1,HB-1000,Headlamp Lite,4,21.25,85.0
17,1,HL-1000,Pocket Beam,1,57.49,57.49
18,1,CL-1000,Trail Blazer,3,39.83,119.49
19,1,AC-2000,Headlamp Pro,3,45.39,136.17
20,1,CL-1000,Camp Lantern,3,19.86,59.58
21,1,AC-2000,Trail Blazer,3,11.09,33.27
22,1,HL-1000,USB-C Charger,2,73.03,146.06
23,1,FL-2000,Headlamp Pro,4,14.07,56.28
24,1,HB-1000,Camp Lantern,1,86.75,86.75
25,1,FL-1000,Headlamp Lite,2,77.49,154.98
26,1,BK-1000,Pocket Beam,3,69.85,209.55
27,1,AC-1000,Trail Blazer,2,89.94,179.88
28,1,FL-2000,Headlamp Lite,2,21.51,43.02
29,1,BK-1000,Camp Lantern,4,30.31,121.24
30,1,AC-1000,Trail Blazer,4,66.99,267.96
31,1,FL-1000,Pocket Beam,2,7.72,15.44
32,1,FL-1000,Bike Mount,2,11.7,23.4
33,1,HL-1000,Camp Lantern,2,60.12,120.24
34,1,AC-2000,Battery Pack,3,52.43,157.29
35,1,BK-1000,Headlamp Lite,1,16.46,16.46
36,1,FL-1000,USB-C Charger,2,32.09,64.18
37,1,HL-1000,USB-C Charger,1,57.18,57.18
38,1,AC-2000,Trail Blazer,2,24.75,49.5
39,1,BK-1000,Pocket Beam,4,71.32,285.28
40,1,CL-1000,Camp Lantern,1,34.64,34.64
41,1,FL-2000,USB-C Charger,3,72.1,216.3
42,1,AC-2000,Headlamp Pro,2,17.8,35.6
43,1,FL-2000,Camp Lantern,2,50.81,101.62
44,1,FL-1000,Battery Pack,1,25.39,25.39
45,1,CL-1000,Trail Blazer,1,71.14,71.14
46,1,HL-1000,USB-C Charger,3,54.07,162.21
47,1,AC-2000,USB-C Charger,1,93.67,93.67
48,1,AC-2000,Camp Lantern,3,96.8,290.4
49,1,AC-1000,Headlamp Lite,2,13.08,26.16
50,1,BK-1000,Headlamp Lite,2,61.45,122.9
51,1,BK-1000,USB-C Charger,4,66.08,264.32
52,1,FL-2000,Trail Blazer,1,23.57,23.57
53,1,FL-1000,Trail Blazer,1,19.86,19.86
54,1,AC-1000,USB-C Charger,2,15.26,30.52
55,1,AC-2000,USB-C Charger,2,75.14,150.28
56,1,HB-1000,Headlamp Lite,3,45.14,135.42
57,1,FL-2000,Battery Pack,2,15.08,30.16
58,1,HB-1000,Pocket Beam,2,73.01,146.02
59,1,HB-1000,Camp Lantern,3,22.85,68.55
60,1,FL-1000,Trail Blazer,4,98.15,392.6
