order_id,order_date,order_year,order_month,customer_id,channel,state,order_amount
8,2024-09-29,2024,9,C4130.,online,AZ,420.48
10,2024-09-29,2024,9,C884.0,phone,AZ,551.54
21,2024-09-29,2024,9,C3279.,store,TX,179.14
36,2024-09-29,2024,9,C4537.,phone,CA,344.58
37,2024-09-29,2024,9,C3802.,store,AZ,344.56
41,2024-09-29,2024,9,C1020.,online,CA,386.36
65,2024-09-29,2024,9,C3253.,online,AZ,318.07
75,2024-09-29,2024,9,C1496.,store,OR,719.78
79,2024-09-29,2024,9,C589.0,phone,FL,79.29
80,2024-09-29,2024,9,C772.0,phone,OR,339.1
87,2024-09-29,2024,9,C2778.,phone,OR,743.0
119,2024-09-29,2024,9,C997.0,phone,AZ,299.27
130,2024-09-29,2024,9,C4021.,online,CA,159.48
157,2024-09-29,2024,9,C2705.,store,CA,489.6
172,2024-09-29,2024,9,C774.0,online,FL,566.98
284,2024-09-29,2024,9,C4057.,store,CA,346.57
299,2024-09-29,2024,9,C1511.,phone,NY,334.91
303,2024-09-29,2024,9,C4270.,phone,NY,514.26
318,2024-09-29,2024,9,C1374.,phone,WA,371.01
338,2024-09-29,2024,9,C3847.,phone,TX,297.3
353,2024-09-29,2024,9,C3090.,store,WA,236.63
365,2024-09-29,2024,9,C4124.,phone,AZ,672.68
381,2024-09-29,2024,9,C2668.,store,AZ,498.77
411,2024-09-29,2024,9,C2986.,store,AZ,399.46
419,2024-09-29,2024,9,C937.0,online,WA,417.25
423,2024-09-29,2024,9,C2510.,phone,CA,322.8
428,2024-09-29,2024,9,C905.0,store,CA,327.88
467,2024-09-29,2024,9,C2587.,online,NY,548.44
475,2024-09-29,2024,9,C4362.,store,WA,97.26
500,2024-09-29,2024,9,C046.0,store,CA,310.72
513,2024-09-29,2024,9,C2910.,online,OR,366.11
520,2024-09-29,2024,9,C4025.,online,WA,135.61
551,2024-09-29,2024,9,C2930.,phone,IL,357.56
585,2024-09-29,2024,9,C1529.,online,NY,296.85
653,2024-09-29,2024,9,C3021.,online,CA,391.7
674,2024-09-29,2024,9,C961.0,online,IL,189.64
678,2024-09-29,2024,9,C2190.,phone,FL,311.85
726,2024-09-29,2024,9,C2850.,store,FL,478.79
747,2024-09-29,2024,9,C3418.,store,AZ,460.78
794,2024-09-29,2024,9,C4886.,online,CA,535.44
795,2024-09-29,2024,9,C1024.,store,CA,234.48
804,2024-09-29,2024,9,C1563.,phone,OR,388.02
842,2024-09-29,2024,9,C076.0,store,OR,453.63
854,2024-09-29,2024,9,C4839.,store,TX,499.72
868,2024-09-29,2024,9,C1695.,online,FL,318.27
897,2024-09-29,2024,9,C2654.,store,WA,226.14
910,2024-09-29,2024,9,C2575.,phone,TX,398.08
912,2024-09-29,2024,9,C1452.,store,AZ,334.25
913,2024-09-29,2024,9,C1526.,store,WA,459.57
927,2024-09-29,2024,9,C2532.,phone,CA,554.63
937,2024-09-29,2024,9,C4462.,phone,WA,372.71
964,2024-09-29,2024,9,C4802.,phone,IL,437.76
980,2024-09-29,2024,9,C374.0,phone,TX,703.7
981,2024-09-29,2024,9,C2234.,online,IL,877.18
986,2024-09-29,2024,9,C4594.,online,IL,394.23
992,2024-09-29,2024,9,C865.0,store,WA,444.67
1010,2024-09-29,2024,9,C4202.,phone,IL,731.37
1027,2024-09-29,2024,9,C2886.,store,NY,491.98
1052,2024-09-29,2024,9,C423.0,online,IL,392.27
1059,2024-09-29,2024,9,C3305.,store,WA,553.31
1065,2024-09-29,2024,9,C1250.,phone,TX,603.53
1084,2024-09-29,2024,9,C4208.,store,IL,602.37
1087,2024-09-29,2024,9,C3791.,phone,AZ,579.19
1136,2024-09-29,2024,9,C1120.,store,IL,210.5
1146,2024-09-29,2024,9,C1976.,phone,NY,332.46
1163,2024-09-29,2024,9,C2642.,online,CA,252.95
1172,2024-09-29,2024,9,C2921.,phone,NY,319.84
1210,2024-09-29,2024,9,C361.0,store,WA,455.42
1222,2024-09-29,2024,9,C1906.,store,OR,634.76
1271,2024-09-29,2024,9,C3839.,store,AZ,478.74
1282,2024-09-29,2024,9,C693.0,phone,WA,443.69
1290,2024-09-29,2024,9,C4362.,online,WA,448.64
1294,2024-09-29,2024,9,C3678.,phone,FL,519.42
1299,2024-09-29,2024,9,C2486.,store,AZ,178.36
1318,2024-09-29,2024,9,C1907.,store,NY,265.63
1336,2024-09-29,2024,9,C2902.,phone,OR,279.34
1339,2024-09-29,2024,9,C775.0,store,FL,675.85
1343,2024-09-29,2024,9,C4711.,online,AZ,394.22
1351,2024-09-29,2024,9,C2996.,online,FL,402.04
1359,2024-09-29,2024,9,C1267.,phone,TX,286.37
1366,2024-09-29,2024,9,C949.0,store,CA,538.52
1370,2024-09-29,2024,9,C715.0,phone,FL,521.5
1385,2024-09-29,2024,9,C441.0,store,CA,633.05
1413,2024-09-29,2024,9,C4561.,phone,WA,326.5
1427,2024-09-29,2024,9,C3471.,phone,OR,309.51
1428,2024-09-29,2024,9,C4832.,online,OR,373.99
1434,2024-09-29,2024,9,C4609.,phone,FL,515.86
1445,2024-09-29,2024,9,C2171.,phone,CA,466.14
1475,2024-09-29,2024,9,C587.0,online,OR,224.0
1484,2024-09-29,2024,9,C2866.,phone,NY,272.22
1510,2024-09-29,2024,9,C1566.,phone,AZ,275.82
1533,2024-09-29,2024,9,C991.0,online,AZ,265.44
1535,2024-09-29,2024,9,C657.0,store,OR,369.04
1591,2024-09-29,2024,9,C2071.,phone,AZ,612.32
1623,2024-09-29,2024,9,C3459.,online,AZ,191.81
1632,2024-09-29,2024,9,C3817.,online,NY,185.36
1655,2024-09-29,2024,9,C4708.,phone,AZ,257.84
1659,2024-09-29,2024,9,C3834.,store,IL,367.12
1662,2024-09-29,2024,9,C2574.,store,WA,198.32
1680,2024-09-29,2024,9,C2528.,phone,TX,400.83
